ime;lokacija;stanje;proizvodjac;model;godiste;kilometraza;vrata;gorivo;kubikaza;kilovata;konjskih_snaga;emisioni_standard;registrovan;udaren;broj_pregleda;datum;datum_objave;radnja;cijena
2013 Hyundai Santa Fe Sport;;Korišteno;Hyundai;Santa Fe;2013;62160;4;Benzin;2.4;;190;;;;59935;2022-06-01;2022-06-01;0;28000
Citroen dijana 6 - Oldtimer;Tešanj;Korišteno;Citroen;2 CV;1978;66000;4;Benzin;0.8;23;32;;1;;37203;2022-05-02;2022-05-02;0;12000
Mercedes 190 2.0;Posušje;Korišteno;Mercedes-Benz;200;1990;141000;4;Benzin;2.0;66;;;;;34926;2022-04-17;2022-04-17;1;6500
Mercedes 124 300d;Posušje;Korišteno;Mercedes-Benz;E 300;1992;176826;4;Dizel;3.0;;;;;;58663;2022-05-11;2022-05-11;1;13000
Golf 1 DIZEL;Posušje;Korišteno;Volkswagen;Golf;1983;165943;4;Dizel;1.6;;;;;;21439;2022-05-11;2022-05-11;1;4500
Mercedes W210 E 2.7 CDI Avantgarde;Novi Travnik;Korišteno;Mercedes-Benz;E 270;2001;310000;4;Dizel;2.7;125;170;Euro 4;1;;15022;2022-04-17;2022-04-16;0;5800
Renault laguna grand tour 2.0 T 16v PLIN;Zenica;Korišteno;Renault;Laguna;2004;220000;4;Plin;2.0;120;;Euro 3;1;;13941;2022-06-10;2022-06-10;0;7700
Ford granada;;Korišteno;Ford;Granada;1982;200000;4;Benzin;2.0;74;;;1;;21888;2022-04-27;2022-04-27;0;4500
Saab 9-3 2,2 tid;Zenica;Korišteno;Saab;9-3;2001;228000;2;Dizel;2.2;92;125;Euro 3;;;15710;2022-05-30;2022-05-30;0;4200
Citroen C3 Pluriel 1.4hdi 2005gp;Visoko;Korišteno;Citroen;C3 Pluriel;2005;200000;2;Dizel;1.4;40;50;;1;;16274;2022-06-17;2022-06-17;0;5500
BMW E30 325i M-Technic Full oprema;Grad Mostar;Korišteno;BMW;325;1987;200000;4;Benzin;2.7;;200;;1;;220675;2022-06-10;2022-06-10;0;19900
Džip kampanjola AR/55;Živinice;Korišteno;Fiat;Campagnola;0;10;2;Dizel;1.5;37;;;;;61674;2022-08-04;2022-08-04;0;15000
Apal Buggy L;Čapljina;Korišteno;Volkswagen;Buggy;1967;36000;2;Benzin;1.3;32;43;;;;28569;2022-09-04;2022-09-04;0;16500
Mercedes 123;Banja Luka;Korišteno;Mercedes-Benz;200;1983;1000000;4;Dizel;2.0;44;60;Euro 0;1;;45393;2022-05-15;2022-05-15;0;5000
Honda CRV CR-V;Laktaši;Korišteno;Honda;CR-V;2005;235000;4;Plin;2.4;110;;;1;;50191;2022-09-11;2022-09-11;1;9300
Karavan palio BLUKA 33hkm presao, 1vlasnik!;;Korišteno;Fiat;Palio;2000;33000;4;Benzin;1.2;77;;;1;;4494;2022-06-06;2022-06-06;0;2990
BMW E46 320d -TOURING;Grad Mostar;Korišteno;BMW;320;2001;280000;4;Dizel;2.0;100;136;Euro 3;1;;34883;2022-05-01;2022-05-01;0;6000
Touran 2.0 tdi;Cazin;Korišteno;Volkswagen;Touran;2004;170000;2;Dizel;2.0;103;140;Euro 4;1;;28360;2022-05-03;2022-05-03;0;7800
Pasat 3;Ugljevik;Korišteno;Volkswagen;Passat;1989;300000;4;Benzin;1.8;66;66;;1;;28952;2022-04-22;2022-04-22;0;900
Passat karavan;Fojnica;Korišteno;Volkswagen;Passat;1999;240000;4;Dizel;1.9;85;110;Euro 3;1;;12651;2022-04-18;2022-04-18;0;4700
Passat 5+;Sarajevo, Novi Grad;Korišteno;Volkswagen;Passat;2002;305000;4;Dizel;1.9;96;131;Euro 3;1;;10127;2022-06-04;2022-06-04;0;5300
Bmw 735;Bijeljina;Korišteno;BMW;735;1992;190000;4;Benzin;3.5;155;;;;;35891;2022-08-04;2022-08-04;0;14750
WV T4 putnički multivan;Ljubuški;Korišteno;Volkswagen;T4 Multivan;1992;550000;4;Benzin;2.5;81;115;;1;;31399;2022-05-07;2022-05-07;0;14000
Audi A4;Pale;Korišteno;Audi;A4;1998;345000;4;Benzin;1.8;92;127;Euro 3;1;;40541;2022-06-07;2022-06-07;0;3500
Peugeot 406 automatic 2,0 hdi;Brčko;Korišteno;Peugeot;406;2003;134000;4;Dizel;2.0;79;109;;1;;19897;2022-05-05;2022-05-05;0;8500
Terenac SSangyong Kyron 2,7 XDI;Sarajevo, Novi Grad;Korišteno;Ssangyong;Kyron;2008;106000;4;Dizel;2.7;121;145;;1;;14374;2022-06-12;2022-06-12;0;12900
Peugeot 207 HDI 1.4;Novo Sarajevo;Korišteno;Peugeot;207;2011;37500;4;Dizel;1.4;50;70;;1;;9606;2022-04-24;2022-04-24;0;16700
MERCEDES 115 MINIKA 200 D 1974 g;Vitez;Korišteno;Mercedes-Benz;200;1974;333000;4;Dizel;2.0;55;;Euro 1;1;;12576;2022-04-29;2022-04-29;0;10000
Nissan Sunny;Stari Grad;Korišteno;Nissan;Sunny;1991;127500;4;Benzin;1.4;55;;Euro 3;;;9771;2022-04-19;2022-04-19;0;1990
DACIA LOGAN,1.4mpi 2006.god. benzin/plin;Doboj;Korišteno;Dacia;Logan;2006;306000;4;Plin;1.4;55;;;1;;13261;2022-09-11;2022-09-11;0;2700
Opel vectra;Foča;Korišteno;Opel;Vectra;1998;180000;4;Benzin;1.6;74;101;;1;;15079;2022-07-01;2022-07-01;0;2300
Peugeot 807 20 hdi automatik;Brčko;Korišteno;Peugeot;807;2004;197000;4;Dizel;2.0;80;110;;1;;15861;2022-05-05;2022-05-05;0;8900
